line_number,target_node,skipFirst,priority,incoming_scoreEnd
1867,69545,0,1,5
1868,69559,0,0,5
1870,69545,0,1,5
1871,69559,0,0,5
1873,69545,0,1,5
1874,69545,0,0,4
1876,69545,0,1,5
1877,69545,0,0,4
1888,69545,1,0,67
1889,69559,1,1,68
1890,69561,1,2,69
1891,69565,1,2,89
1893,69545,1,0,67
1894,69559,1,1,68
1895,69559,0,3,69
1896,69561,1,2,69
1897,69561,0,3,69
1899,69545,1,0,67
1900,69559,1,1,68
1901,69559,0,3,69
1902,69561,1,2,69
1903,69561,0,3,69
1905,69545,1,0,67
1906,69545,0,3,68
1907,69559,1,1,68
1908,69559,0,3,69
1910,69545,1,0,67
1911,69545,0,3,68
1912,69559,1,1,68
1913,69559,0,3,69
1915,69545,1,0,67
1916,69545,0,3,68
1917,69545,0,2,68
1919,69545,1,0,67
1920,69545,0,3,68
1921,69545,0,2,68
1923,69546,0,0,4
1925,69546,0,0,4
1936,69545,1,1,131
1938,69546,0,2,68
1940,69546,0,2,68
1942,69547,0,0,4
1944,69547,0,0,4
1953,69546,1,1,131
1955,69547,0,2,68
1957,69547,0,2,68
1959,69548,0,0,4
1961,69548,0,0,4
1970,69547,1,1,131
1972,69548,0,2,68
1974,69548,0,2,68
1976,69549,0,0,4
1978,69549,0,0,4
1987,69548,1,1,131
1989,69549,0,2,68
1991,69549,0,2,68
1993,69550,0,1,5
1995,69550,0,1,5
2004,69549,1,1,131
2006,69550,0,1,68
2008,69550,0,1,68
2010,69551,0,0,5
2012,69551,0,0,5
2021,69550,1,1,131
2023,69551,0,2,69
2025,69551,0,2,69
2027,69552,0,0,5
2029,69552,0,0,5
2038,69551,1,1,132
2040,69552,0,2,69
2042,69552,0,2,69
2044,69553,0,0,5
2046,69553,0,0,5
2055,69552,1,1,132
2057,69553,0,2,69
2059,69553,0,2,69
2061,69554,0,0,5
2063,69554,0,0,5
2072,69553,1,1,132
2074,69554,0,2,69
2076,69554,0,2,69
2078,69555,0,0,5
